created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,
"Sat Dec 30 20:37:08 +0000 2023;1741196745521123686;""#Gempa Mag:3.4", 31-Dec-2023 03:34:34WIB, Lok:6.75LS, 106.57BT (26 km TimurLaut KAB-SUKABUMI-JABAR), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/w5cScjSkIX"";7;18;31;138;in;108543358;1741196745521123686;infoBMKG;https://twitter.com/infoBMKG/status/1741196745521123686",,,,,
"Sat Dec 30 20:29:11 +0000 2023;1741194743890186376;""#Gempa Mag:3.7", 31-Dec-2023 03:26:34WIB, Lok:2.64LS, 129.48BT (93 km TimurLaut MALUKUTENGAH), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/kedfjuSGke"";0;5;4;15;in;108543358;1741194743890186376;infoBMKG;https://twitter.com/infoBMKG/status/1741194743890186376",,,,,
"Sat Dec 30 20:03:09 +0000 2023;1741188193343733884;""#Gempa Mag:2.6", 31-Dec-2023 02:59:56WIB, Lok:2.93LS, 139.39BT (52 km BaratLaut KAB-JAYAPURA-PAPUA), Kedlmn:26 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/PvRGOVUKan"";1;0;3;9;in;108543358;1741188193343733884;infoBMKG;https://twitter.com/infoBMKG/status/1741188193343733884",,,,,
"Sat Dec 30 19:43:09 +0000 2023;1741183157674926166;""#Gempa Mag:3.1", 31-Dec-2023 02:40:41WIB, Lok:2.79LS, 139.52BT (43 km BaratLaut KAB-JAYAPURA-PAPUA), Kedlmn:28 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/lEjTbhM6Ow"";0;0;2;11;in;108543358;1741183157674926166;infoBMKG;https://twitter.com/infoBMKG/status/1741183157674926166",,,,,
"Sat Dec 30 19:35:08 +0000 2023;1741181143754707037;""#Gempa Mag:4.3", 31-Dec-2023 02:33:17WIB, Lok:2.77LS, 139.47BT (44 km Tenggara SARMI-PAPUA), Kedlmn:23 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/NrrSIRQZSm"";0;0;2;5;in;108543358;1741181143754707037;infoBMKG;https://twitter.com/infoBMKG/status/1741181143754707037",,,,,
"Sat Dec 30 19:03:09 +0000 2023;1741173094465880446;""#Gempa Mag:4.0", 31-Dec-2023 01:58:58WIB, Lok:1.91LU, 121.30BT (104 km BaratLaut BUOL-SULTENG), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/8CQT4bhICH"";0;0;3;6;in;108543358;1741173094465880446;infoBMKG;https://twitter.com/infoBMKG/status/1741173094465880446",,,,,
"Sat Dec 30 18:14:08 +0000 2023;1741160759542083643;""#Gempa Mag:3.9", 31-Dec-2023 01:10:01WIB, Lok:2.64LS, 139.57BT (45 km Tenggara SARMI-PAPUA), Kedlmn:10 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/vJfDWwjhxS"";0;0;2;9;in;108543358;1741160759542083643;infoBMKG;https://twitter.com/infoBMKG/status/1741160759542083643",,,,,
"Sat Dec 30 18:10:09 +0000 2023;1741159753240510939;""#Gempa Mag:2.8", 31-Dec-2023 01:04:34WIB, Lok:2.72LS, 139.53BT (45 km Tenggara SARMI-PAPUA), Kedlmn:54 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/pLKyn5mSjW"";0;0;1;9;in;108543358;1741159753240510939;infoBMKG;https://twitter.com/infoBMKG/status/1741159753240510939",,,,,
"Sat Dec 30 17:42:08 +0000 2023;1741152703890481600;""#Gempa Mag:3.6", 31-Dec-2023 00:36:34WIB, Lok:3.06LS, 139.25BT (65 km Tenggara SARMI-PAPUA), Kedlmn:27 Km #BMKG  Disclaimer:Informasi ini mengutamakan kecepatan," sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data https://t.co/mtHqTmKN83"";0;0;2;15;in;108543358;1741152703890481600;infoBMKG;https://twitter.com/infoBMKG/status/1741152703890481600",,,,,
"Sat Dec 30 17:40:53 +0000 2023;1741152389611258093;""#Gempa (UPDATE) Mag:6.5", 31-Des-23 00:16:26 WIB, Lok:2.89 LS, 139.44 BT (Pusat gempa berada di darat 95 km TimurLaut Kobagma), Kedlmn:30 Km Dirasakan (MMI) III - IV Kab. Jayapura, III Kota Jayapura, III Sarmi," II - III Wamena #BMKG https://t.co/Z1vHCAYBTt"";4;3;16;33;in;108543358;1741152389611258093;infoBMKG;https://twitter.com/infoBMKG/status/1741152389611258093",,,
