mag,depth,lat,lon,rad,pga,loc_encoded
4.1,10,-2.99,139.92,7,2,10
3.8,168,-7.01,107.19,21,2,4
3.4,10,-2.97,139.87,2,2,10
2.8,254,0.68,124.02,22,2,15
3.1,10,-1.3,120.51,29,2,11
4.0,16,5.18,94.8,90,2,34
3.9,10,-1.94,122.49,92,2,11
3.8,226,1.52,124.76,23,2,15
3.3,23,-8.01,118.05,74,2,8
4.1,10,-10.1,109.3,265,2,35
4.4,10,-9.66,124.96,15,2,7
3.3,12,-2.58,128.91,80,2,3
4.7,37,1.1,98.69,68,2,2
3.6,10,-8.67,109.73,106,2,30
2.7,10,0.9,120.4,39,2,11
3.6,10,-4.22,133.65,108,2,1
2.4,124,-1.71,101.42,18,2,20
2.9,25,-7.82,106.98,100,2,4
4.0,10,-8.71,107.83,134,2,4
3.1,11,-7.47,106.18,60,2,22
2.7,10,-0.16,121.7,74,2,12
2.8,137,-8.5,117.66,26,2,8
3.0,94,-1.6,135.34,93,2,10
3.4,10,-9.67,125.04,21,2,7
4.1,10,-9.66,125.05,21,2,7
5.2,10,-9.71,125.05,25,2,7
5.1,10,-9.71,125.05,25,2,7
4.3,10,-8.86,123.43,43,2,7
3.9,10,2.93,127.13,129,2,15
3.6,10,-2.96,130.12,44,2,6
4.3,10,-7.57,105.91,80,2,22
3.8,201,-5.96,130.3,249,2,27
4.4,20,0.5,126.02,144,2,15
2.9,64,-6.64,107.58,17,2,4
5.4,119,-5.89,130.59,239,2,38
3.0,162,-8.39,117.69,31,2,8
3.0,10,-0.67,121.88,61,2,11
3.2,29,-8.73,110.54,82,2,30
2.7,12,-8.0,110.45,15,2,30
3.0,10,-1.64,120.66,29,2,11
2.5,10,-1.26,121.18,43,2,11
3.2,38,-8.23,109.07,56,2,35
3.8,10,-7.47,105.98,67,2,22
4.7,10,5.38,127.64,187,2,15
2.9,17,2.24,96.24,29,2,24
2.7,10,-0.62,98.99,120,2,21
2.6,104,0.38,120.94,27,2,11
2.4,102,0.36,120.87,25,2,11
3.6,10,4.62,96.42,44,2,24
3.2,10,-7.59,105.99,78,2,22
4.2,10,-7.64,105.95,85,2,22
5.1,10,-7.56,106.0,75,2,22
5.1,14,-7.56,106.0,75,2,22
3.7,10,-8.44,120.72,34,2,7
3.4,13,-7.53,105.96,74,2,22
3.1,10,-7.55,106.0,74,2,22
2.7,10,-7.41,106.08,56,2,22
5.7,10,-7.61,105.9,85,2,22
5.8,10,-7.57,105.94,79,2,22
3.0,10,-2.42,120.71,54,2,17
3.6,96,-8.27,121.57,53,2,7
3.8,116,1.78,127.22,62,2,5
4.2,24,-4.43,137.04,69,2,10
3.5,10,-1.73,133.32,19,2,1
3.8,25,4.64,95.06,57,2,39
4.3,31,-5.61,102.3,29,2,13
2.7,174,-8.16,123.95,62,2,7
5.2,11,-6.44,143.48,356,2,10
2.8,10,0.59,98.5,76,2,2
2.6,10,4.99,95.95,36,2,24
3.7,369,-7.54,120.35,117,2,7
3.2,10,-9.08,111.91,110,2,31
3.8,81,-8.82,119.07,53,2,8
2.9,10,-2.98,119.35,8,2,32
3.0,149,0.17,100.3,15,2,21
4.5,321,-5.7,128.85,240,2,6
2.0,10,-9.48,124.51,10,2,7
4.6,288,-7.46,127.25,97,2,14
3.6,156,-2.59,102.28,56,2,20
3.7,10,-9.52,124.55,9,2,7
4.2,10,2.27,95.11,141,2,24
4.7,153,4.7,126.29,88,2,15
4.3,300,-7.96,117.33,59,2,8
5.3,10,4.04,128.59,212,2,15
5.1,10,4.04,128.57,183,2,15
4.4,10,1.58,126.37,134,2,5
2.8,11,-3.07,128.9,26,2,3
3.6,28,-9.47,115.92,90,2,8
4.0,10,1.63,126.34,136,2,15
4.6,164,-6.34,130.1,225,2,27
3.3,10,-3.0,119.35,10,2,32
4.8,11,2.6,95.4,108,2,24
4.1,252,-0.06,121.94,57,2,12
2.8,11,-2.46,121.02,21,2,17
2.2,10,-4.4,123.11,42,2,40
3.8,13,-0.61,98.62,156,2,21
5.6,26,-0.67,98.5,157,2,2
5.7,25,-0.63,98.43,150,2,2
2.4,23,-9.09,117.22,55,2,8
3.1,10,0.97,99.67,10,2,2
3.1,10,0.86,125.64,86,2,15
3.6,10,4.25,126.9,37,2,15
2.5,10,-8.16,114.88,23,2,23
3.2,10,-10.31,124.6,62,2,7
4.1,10,1.2,120.27,65,2,11
2.9,74,-8.53,120.23,27,2,7
3.4,35,1.83,127.14,72,2,5
2.7,17,-3.82,119.02,54,2,32
4.1,213,-5.6,129.85,274,2,3
3.4,10,1.07,119.76,112,2,11
4.9,10,8.61,126.2,515,2,15
3.1,184,0.25,123.96,14,2,15
3.2,31,-9.82,124.71,32,2,7
3.0,28,-8.12,107.74,93,2,4
5.2,640,-6.54,113.97,43,2,31
5.2,640,-6.54,113.97,43,2,31
3.3,10,-8.24,114.54,13,2,23
3.1,240,0.46,122.14,21,2,12
3.1,10,1.04,121.79,49,2,11
2.9,10,-1.33,120.37,43,2,11
5.3,28,-0.87,146.14,657,1,10
2.4,10,-2.59,121.26,9,2,17
3.4,10,4.52,96.41,33,2,24
