mag,depth,rad,prov,lat,lon,prov_enco,kmeans,kmedoids
2.4,10.0,7.0,SULBAR,-2.94,119.39,30,2.0,0.0
2.1,10.0,26.0,NTT,-9.75,123.87,7,2.0,0.0
3.2,10.0,15.0,NTT,-9.85,123.87,7,2.0,0.0
3.0,10.0,15.0,SULBAR,-2.97,119.45,30,2.0,0.0
2.1,10.0,27.0,JABAR,-6.73,106.59,4,2.0,0.0
3.0,102.0,60.0,GORONTALO,0.07,122.86,12,1.0,1.0
5.0,37.0,13.0,NTT,-10.01,123.77,7,2.0,0.0
3.6,15.0,47.0,BENGKULUSELATAN,-4.86,102.79,18,2.0,0.0
3.8,26.0,65.0,JABAR,-8.29,108.47,4,0.0,2.0
5.2,10.0,194.0,MALUKUTENGGARABRT,-6.68,130.12,25,3.0,3.0
4.0,21.0,39.0,PAPUA,-3.91,139.78,10,2.0,0.0
2.8,10.0,36.0,MALUKUTENGAH,-3.61,128.84,3,2.0,0.0
